unit,geo,time,values
PC_GEXP,CZ,2013,1.51
PC_GEXP,DE,2013,2.01
PC_GEXP,DK,2013,1.83
PC_GEXP,EA19,2013,1.41
PC_GEXP,EE,2013,2.12
PC_GEXP,EL,2013,0.76
PC_GEXP,ES,2013,1.22
PC_GEXP,EU27_2020,2013,1.4
PC_GEXP,FI,2013,1.74
PC_GEXP,FR,2013,1.24
PC_GEXP,HR,2013,1.26
PC_GEXP,HU,2013,1.29
PC_GEXP,IE,2013,0.99
PC_GEXP,IS,2013,2.2
PC_GEXP,IT,2013,1.03
PC_GEXP,JP,2013,1.76
PC_GEXP,KR,2013,3.78
PC_GEXP,LT,2013,1.01
PC_GEXP,LU,2013,1.48
PC_GEXP,LV,2013,0.37
PC_GEXP,MT,2013,0.66
PC_GEXP,NL,2013,1.56
PC_GEXP,NO,2013,1.83
PC_GEXP,PL,2013,0.85
PC_GEXP,PT,2013,0.79
PC_GEXP,RO,2013,0.58
PC_GEXP,RU,2013,1.62
PC_GEXP,SE,2013,1.59
PC_GEXP,SI,2013,0.79
PC_GEXP,SK,2013,0.91
PC_GEXP,UK,2013,1.28
PC_GEXP,US,2013,1.7
PC_GEXP,AT,2014,1.52
PC_GEXP,BE,2014,1.22
PC_GEXP,BG,2014,0.57
PC_GEXP,CH,2014,2.58
PC_GEXP,CY,2014,0.72
PC_GEXP,CZ,2014,1.47
PC_GEXP,DE,2014,1.97
PC_GEXP,DK,2014,1.81
PC_GEXP,EA19,2014,1.4
PC_GEXP,EE,2014,1.87
PC_GEXP,EL,2014,0.87
PC_GEXP,ES,2014,1.24
PC_GEXP,EU27_2020,2014,1.39
PC_GEXP,FI,2014,1.69
PC_GEXP,FR,2014,1.2
PC_GEXP,HR,2014,1.44
PC_GEXP,HU,2014,0.55
PC_GEXP,IE,2014,0.99
PC_GEXP,IS,2014,1.81
PC_GEXP,IT,2014,1.02
PC_GEXP,JP,2014,1.76
PC_GEXP,KR,2014,3.74
PC_GEXP,LT,2014,0.99
PC_GEXP,LU,2014,1.51
PC_GEXP,LV,2014,0.42
PC_GEXP,MT,2014,0.54
PC_GEXP,NL,2014,1.58
PC_GEXP,NO,2014,1.85
PC_GEXP,PL,2014,1.01
PC_GEXP,PT,2014,0.7
PC_GEXP,RO,2014,0.6
PC_GEXP,RU,2014,1.43
PC_GEXP,SE,2014,1.62
PC_GEXP,SI,2014,0.84
PC_GEXP,SK,2014,0.88
PC_GEXP,UK,2014,1.27
PC_GEXP,US,2014,1.7
PC_GEXP,AT,2015,1.56
PC_GEXP,BE,2015,1.13
PC_GEXP,BG,2015,0.59
PC_GEXP,CH,2015,2.62
PC_GEXP,CY,2015,0.82
PC_GEXP,CZ,2015,1.43
PC_GEXP,DE,2015,1.99
PC_GEXP,DK,2015,1.84
PC_GEXP,EA19,2015,1.39
PC_GEXP,EE,2015,1.72
PC_GEXP,EL,2015,0.97
PC_GEXP,ES,2015,1.28
PC_GEXP,EU27_2020,2015,1.38
PC_GEXP,FI,2015,1.68
PC_GEXP,FR,2015,1.14
PC_GEXP,HR,2015,1.64
PC_GEXP,HU,2015,0.55
PC_GEXP,IE,2015,0.96
PC_GEXP,IS,2015,1.96
PC_GEXP,IT,2015,1.01
PC_GEXP,JP,2015,1.66
PC_GEXP,KR,2015,3.74
PC_GEXP,LT,2015,0.93
PC_GEXP,LU,2015,1.53
PC_GEXP,LV,2015,0.49
PC_GEXP,MT,2015,0.65
PC_GEXP,NL,2015,1.58
PC_GEXP,NO,2015,1.89
PC_GEXP,PL,2015,0.98
PC_GEXP,PT,2015,0.79
PC_GEXP,RO,2015,0.71
PC_GEXP,RU,2015,1.53
PC_GEXP,SE,2015,1.58
PC_GEXP,SI,2015,0.84
PC_GEXP,SK,2015,0.91
PC_GEXP,UK,2015,1.25
PC_GEXP,US,2015,1.69
PC_GEXP,AT,2016,1.61
PC_GEXP,BE,2016,1.18
PC_GEXP,BG,2016,0.57
PC_GEXP,CY,2016,0.84
PC_GEXP,CZ,2016,1.47
PC_GEXP,DE,2016,2.04
PC_GEXP,DK,2016,1.72
PC_GEXP,EA19,2016,1.42
PC_GEXP,EE,2016,1.69
PC_GEXP,EL,2016,1.09
PC_GEXP,ES,2016,1.28
PC_GEXP,EU27_2020,2016,1.4
PC_GEXP,FI,2016,1.52
PC_GEXP,FR,2016,1.11
PC_GEXP,HR,2016,1.55
PC_GEXP,HU,2016,0.83
PC_GEXP,IE,2016,0.95
PC_GEXP,IS,2016,2
PC_GEXP,IT,2016,1.05
PC_GEXP,LT,2016,0.92
PC_GEXP,LU,2016,1.49
PC_GEXP,LV,2016,0.55
PC_GEXP,MT,2016,0.54
PC_GEXP,NL,2016,1.6
PC_GEXP,NO,2016,1.94
PC_GEXP,PL,2016,0.8
PC_GEXP,PT,2016,0.85
PC_GEXP,RO,2016,0.81
PC_GEXP,SE,2016,1.57
PC_GEXP,SI,2016,0.87
PC_GEXP,SK,2016,0.87
PC_GEXP,UK,2016,1.24
PC_GEXP,AT,2017,1.59
PC_GEXP,BE,2017,1.27
PC_GEXP,BG,2017,0.6
PC_GEXP,CH,2017,2.97
PC_GEXP,CY,2017,0.84
PC_GEXP,CZ,2017,1.54
PC_GEXP,DE,2017,2.09
PC_GEXP,DK,2017,1.75
PC_GEXP,EA19,2017,1.44
PC_GEXP,EE,2017,1.53
